Full Name,Identifier,FSF Free/Libre?,OSI Approved?,Deprecated As Of
BSD Zero Clause License,0BSD,Y,Y,
3D Slicer License v1.0,3D-Slicer-1.0,,,
Attribution Assurance License,AAL,,Y,
Abstyles License,Abstyles,,,
AdaCore Doc License,AdaCore-doc,,,
Adobe Systems Incorporated Source Code License Agreement,Adobe-2006,,,
Adobe Display PostScript License,Adobe-Display-PostScript,,,
Adobe Glyph List License,Adobe-Glyph,,,
Adobe Utopia Font License,Adobe-Utopia,,,
Amazon Digital Services License,ADSL,,,
Academic Free License v1.1,AFL-1.1,Y,Y,
Academic Free License v1.2,AFL-1.2,Y,Y,
Academic Free License v2.0,AFL-2.0,Y,Y,
Academic Free License v2.1,AFL-2.1,Y,Y,
Academic Free License v3.0,AFL-3.0,Y,Y,
Afmparse License,Afmparse,,,
Affero General Public License v1.0 only,AGPL-1.0-only,,,
Affero General Public License v1.0 or later,AGPL-1.0-or-later,,,
GNU Affero General Public License v3.0 only,AGPL-3.0-only,Y,Y,
GNU Affero General Public License v3.0 or later,AGPL-3.0-or-later,Y,Y,
Aladdin Free Public License,Aladdin,,,
AMD newlib License,AMD-newlib,,,
AMD's plpa_map.c License,AMDPLPA,,,
Apple MIT License,AML,,,
AML glslang variant License,AML-glslang,,,
Academy of Motion Picture Arts and Sciences BSD,AMPAS,,,
ANTLR Software Rights Notice,ANTLR-PD,,,
ANTLR Software Rights Notice with license fallback,ANTLR-PD-fallback,,,
Any OSI License,any-OSI,,,
Any OSI License - Perl Modules,any-OSI-perl-modules,,,
Apache License 1.0,Apache-1.0,Y,,
Apache License 1.1,Apache-1.1,Y,Y,
Apache License 2.0,Apache-2.0,Y,Y,
Adobe Postscript AFM License,APAFML,,,
Adaptive Public License 1.0,APL-1.0,,Y,
App::s2p License,App-s2p,,,
Apple Public Source License 1.0,APSL-1.0,,Y,
Apple Public Source License 1.1,APSL-1.1,,Y,
Apple Public Source License 1.2,APSL-1.2,,Y,
Apple Public Source License 2.0,APSL-2.0,Y,Y,
Arphic Public License,Arphic-1999,,,
Artistic License 1.0,Artistic-1.0,,Y,
Artistic License 1.0 w/clause 8,Artistic-1.0-cl8,,Y,
Artistic License 1.0 (Perl),Artistic-1.0-Perl,,Y,
Artistic License 2.0,Artistic-2.0,Y,Y,
Artistic License 1.0 (dist),Artistic-dist,,,
Aspell Russian License,Aspell-RU,,,
ASWF Digital Assets License version 1.0,ASWF-Digital-Assets-1.0,,,
